hip,ra,dec,mag,spect,con,proper,dist,bayer
82080,16.766159,82.037262,4.21,G5IIIvar,UMi,,93.1966,Eps
82396,16.83608,-34.293232,2.29,K2IIIb,Sco,Larawag,19.5351,Eps
82514,16.864509,-38.04738,3.0,B1.5IV + B,Sco,Xamidimura,153.6098,Mu-1
82671,16.899924,-42.362025,4.7,B1Iae,Sco,,787.4016,Zet-1
84143,17.202552,-43.239189,3.32,F3p,Sco,,22.5276,Eta
85822,17.536918,86.58646,4.35,A1Vn,UMi,Yildun,52.7704,Del
85927,17.560145,-37.103821,1.62,B1.5IV+...,Sco,Shaula,175.1313,Lam
86228,17.62198,-42.997824,1.86,F1II,Sco,Sargas,92.081,The
86670,17.708132,-39.029983,2.39,B1.5III,Sco,,148.1481,Kap
87073,17.793078,-40.126997,2.99,F3Ia,Sco,,591.716,Iot-1
91262,18.61564,38.783692,0.03,A0Vvar,Lyr,Vega,7.6787,Alp
91971,18.746209,37.605115,4.34,Am,Lyr,,47.8698,Zet-1
92420,18.834665,33.362667,3.52,A8:V comp SB,Lyr,Sheliak,294.9853,Bet
92791,18.908412,36.898613,4.22,M4IIvar,Lyr,,225.7336,Del-2
93194,18.982395,32.689557,3.25,B9III,Lyr,Sulafat,190.1141,Gam
94779,19.28504,53.368459,3.8,K0III,Cyg,,38.0662,Kap
95853,19.495098,51.729779,3.76,A5Vn,Cyg,,37.2024,Iot-2
95947,19.512023,27.959681,3.05,K3II+...,Cyg,Albireo,133.1558,Bet-1
97165,19.749574,45.13081,2.86,B9.5III,Cyg,Fawaris,50.5817,Del
98110,19.938438,35.083424,3.89,K0IIIvar,Cyg,,41.3736,Eta
100453,20.370473,40.256679,2.23,F8Ib,Cyg,Sadr,561.7978,Gam
102098,20.690532,45.280338,1.25,A2Ia,Cyg,Deneb,432.9004,Alp
102488,20.770178,33.970256,2.48,K0III,Cyg,Aljanah,22.2916,Eps
104732,21.215607,30.226916,3.21,G8II SB,Cyg,,43.8789,Zet
107310,21.73571,28.742632,4.49,F6V,Cyg,,22.237,Mu-1
107608,21.795598,-30.898304,5.02,A1V,PsA,,98.4252,The
108661,22.013951,-28.453736,5.43,B8/B9V+...,PsA,,250.6266,Eta
109422,22.169093,-32.548407,4.94,F6V,PsA,,18.2782,Tau
111188,22.52509,-32.346073,4.29,A1V,PsA,,43.7828,Bet
111954,22.677594,-27.043617,4.18,B8V,PsA,,149.2537,Eps
113246,22.932472,-32.539628,4.2,G8III,PsA,,47.259,Del
113368,22.960838,-29.622236,1.17,A3V,PsA,Fomalhaut,7.7036,Alp
